CAPTAIN JACK (GRANDALE REMIX),CAPTAIN JACK,DanceDanceRevolution 3rd Mix,170,Variety ,,capt,3 6 10 13 0 0 8 10 13 0
TURN ME ON (HEAVENLY MIX),E-ROTIC,DanceDanceRevolution 3rd Mix,170,Variety ,,turn,2 5 9 11 0 0 7 10 13 0
FLASHDANCE (WHAT A FEELING),MAGIKA,DanceDanceRevolution 3rd Mix,167,Variety ,,flas,0 6 9 12 0 0 7 8 11 12
WONDERLAND (UKS MIX),X-TREME,DanceDanceRevolution 3rd Mix,128,Variety ,,wond,3 6 8 10 0 0 7 7 10 0
AFRONOVA,RE-VENGE,DanceDanceRevolution 3rd Mix,200,,,afro,5 7 9 13 0 0 8 9 13 0
END OF THE CENTURY,NO.9,DanceDanceRevolution 3rd Mix,171,? ,,endo,4 6 10 13 0 0 7 8 12 0
DEAD END,N & S,DanceDanceRevolution 3rd Mix,190,,,dead,4 7 10 12 0 0 8 9 13 0
La Señorita,CAPTAIN.T,DanceDanceRevolution 3rd Mix,182,,,lase,4 6 8 10 0 0 5 9 13 0
Silent Hill,THOMAS HOWARD,DanceDanceRevolution 3rd Mix,125,,,sile,3 4 9 10 0 0 5 7 11 0
PARANOiA Rebirth,190',DanceDanceRevolution 3rd Mix,190,,,rebi,4 8 10 13 0 0 9 11 13 0
LUV TO ME (AMD MIX),DJ KAZU feat. tiger YAMATO,DanceDanceRevolution 3rd Mix,154,Tokimeki_Idol ,,dluv,3 5 9 11 0 0 7 8 11 0
Jam Jam Reggae (AMD SWING MIX),RICE.C feat. jam master '73,DanceDanceRevolution 3rd Mix,90,Tokimeki_Idol ,,djam,2 5 9 12 0 0 5 9 12 0
GRADIUSIC CYBER ～AMD G5 MIX～,BIG-O feat. TAKA,DanceDanceRevolution 3rd Mix,160,Tokimeki_Idol ,,dgra,3 8 10 13 0 0 9 11 13 0
gentle stress (AMD SEXUAL MIX) ,MR.DOG feat. DJ SWAN ,DanceDanceRevolution 3rd Mix,160,Tokimeki_Idol ,,dgen,4 6 9 12 0 0 5 7 9 0
DYNAMITE RAVE,NAOKI,DanceDanceRevolution 3rd Mix,150,,,sdyna,1 6 10 13 12 0 6 7 11 12
AFTER THE GAME OF LOVE,NPD3,DanceDanceRevolution 3rd Mix,105,,,afte,1 2 6 8 0 0 5 6 8 0
CUTIE CHASER,CLUB SPICE,DanceDanceRevolution 3rd Mix,126,,,cuti,3 5 7 10 0 0 5 7 10 0
DROP THE BOMB,Scotty D.,DanceDanceRevolution 3rd Mix,150,,,theb,3 5 7 10 12 0 6 8 10 0
La Señorita Virtual,2MB,DanceDanceRevolution 3rd Mix,182,,,virt,4 8 10 12 0 0 9 10 12 0
GIMME GIMME GIMME,E-ROTIC,DanceDanceRevolution 3rd Mix,149,Variety ,,gimm,0 6 7 9 0 0 6 7 10 0
BUMBLE BEE,bambee,DanceDanceRevolution 3rd Mix,138,Variety ,,bumb,0 4 7 10 0 0 3 7 9 0
HERO (KCP DISCOTIQUE MIX),PAPAYA,DanceDanceRevolution 3rd Mix,128,Variety ,,kher,0 5 6 9 0 0 6 7 8 0
WA,Lee Jung-hyun,DanceDanceRevolution 3rd Mix,141,,,waa1,0 5 8 9 0 0 4 10 8 0
TELL ME TELL ME,S#ARP,DanceDanceRevolution 3rd Mix,130,,,tel3,0 5 8 10 0 0 5 7 10 0
BU DAM,Baek Ji-young,DanceDanceRevolution 3rd Mix,140,,,bud4,0 4 6 10 0 0 5 7 11 0
BYUL,Team,DanceDanceRevolution 3rd Mix,105,,,bye5,0 2 5 8 0 0 3 5 8 0
FACE,N.R.G,DanceDanceRevolution 3rd Mix,126,,,fac6,0 5 8 9 0 0 5 6 8 0
SUNG SUK,SPACE A,DanceDanceRevolution 3rd Mix,134,,,sen7,0 4 7 10 0 0 3 5 8 0
BA KKWO,Lee Jung-hyun,DanceDanceRevolution 3rd Mix,140,? ,,bak8,0 6 8 9 0 0 7 8 12 0
GAGAAI,S#ARP,DanceDanceRevolution 3rd Mix,134,,,kor2,0 6 9 10 0 0 6 8 10 0
ROSE,FIN.K.L,DanceDanceRevolution 3rd Mix,120,,,kor5,0 6 8 9 0 0 4 6 8 0
HOGISIM,Han's Band,DanceDanceRevolution 3rd Mix,137,,,kor6,0 6 8 10 0 0 7 10 11 0
SHOCK,GOOFY,DanceDanceRevolution 3rd Mix,138,,,kor7,0 6 7 9 0 0 5 7 8 0
STARIAN,DUKE,DanceDanceRevolution 3rd Mix,136,? ,,kor8,0 6 8 11 0 0 6 8 10 0
CAUTION,Tashannie,DanceDanceRevolution 3rd Mix,110,? ,,kor9,0 6 9 9 0 0 6 8 9 0
BEAUTIFUL 21C,2000 Daehan Minguk,DanceDanceRevolution 3rd Mix,108,,,kora,0 6 9 9 0 0 6 7 10 0
GIMME GIMME,Country Kko Kko,DanceDanceRevolution 3rd Mix,144,,,korc,0 6 7 11 0 0 6 7 10 0
TIME OF MASK,FIN.K.L,DanceDanceRevolution 3rd Mix,113,? ,,kord,0 6 8 12 0 0 5 7 12 0
CAN'T TAKE MY EYES OFF YOU (70's Remix),BEATBOX,DanceDanceRevolution 3rd Mix,134,Variety ,,bcant,0 5 7 12 0 0 5 7 12 0
TOTAL RECALL,ULTIMATE HEIGHTS,DanceDanceRevolution 3rd Mix,132,Variety ,,btota,0 6 8 12 0 0 4 7 11 0
Sway (Mucho Mambo),Shaft,DanceDanceRevolution 3rd Mix,128,,,much,3 5 7 9 0 0 5 7 8 0
Word Up,Cameo,DanceDanceRevolution 3rd Mix,116,How_To_Play ,,word,3 5 7 10 0 0 5 7 8 0
Rushing,Loni Clark,DanceDanceRevolution 3rd Mix,123,,,rush,4 6 7 10 0 0 6 7 10 0
Video Killed The Radio Star,The Buggles,DanceDanceRevolution 3rd Mix,130,How_To_Play ,,vide,3 6 7 9 11 0 6 7 8 11
